SMILES,EX_Boiling Point,bp_predicted
CC1CCCC(C1)O,168.0,193.67000000000002
CCCCC=CCC,123.0,113.65000000000003
CC1CCC(CC1)O,174.0,193.67000000000002
C1CCCCCC1,118.8,115.10000000000002
C1CCC=CCC1,115.0,114.25999999999999
C1CCCCC1,80.7,87.94999999999999
C1CCC(CC1)O,160.9,175.46000000000004
C1CCC(CC1)C2=CC=CC=C2,239.0,247.24
C1CCCCCCC1,151.1,142.25
C1CCCC1,49.2,60.80000000000001
C1CC=CC1,44.2,59.95999999999998
C1CC1C(=O)O,182.2,170.22000000000003
C1CC1C2=CC=CC=C2,172.0,165.78999999999996
