SMILES,EX_Liquid Density,m,sigma,epsilon_k,epsilonAB,KAB,molar_mass_rdkit,density_25C_1atm
CCCC(C)CC,687.0,3.3734210917637455,3.8742899400846387,244.19851255339114,9.094947017729282e-13,4.336808689942018e-18,100.205,
CCC(C)CC,659.76,2.9794103633236513,3.8807062056552333,244.59783464720414,9.094947017729282e-13,4.336808689942018e-18,86.178,
CCC(=O)CC,810.09,3.5193247292014953,3.5040231236998847,255.37118303696528,9.094947017729282e-13,4.336808689942018e-18,86.134,
CC(C)(C)CCCO,815.0,4.037586840435224,3.239434730118393,277.61343226469097,2817.941985483269,0.010000000000000002,116.204,
CC(C)(C)CC=C,680.2,2.8928996877600754,3.9107415414967903,246.7496122336937,9.094947017729282e-13,4.336808689942018e-18,98.189,
CC=CC(C)(C)C,712.0,2.685007404050273,3.8497456227529177,242.72672348771235,9.094947017729282e-13,4.336808689942018e-18,98.189,
CC(=O)CC(C)(C)C,816.5,3.4081545787980234,3.5625214356079478,259.7064981004573,235.1091194562623,0.000800000000000003,114.18799999999999,
CCC(CC)CC(C)C,721.0,4.642920463015696,4.147382721356043,417.17872480120775,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(C)C=CC,700.7,2.914691966820489,3.671194871450132,244.07020953596825,9.094947017729282e-13,4.336808689942018e-18,98.18899999999998,
CC=CC(C)C,670.2,2.7376145599760413,3.778006611182423,262.66697327367064,9.094947017729282e-13,4.336808689942018e-18,84.162,
CCCCC(C)CCC,720.17,3.4678109427789536,3.891305860911979,248.56746850259213,24.04255478628312,0.00020000000000000356,128.259,
CCC1=CC(=C(C=C1)O)OC,1051.0,2.884092302063613,4.198457319090086,385.1934252883606,414.5178101467076,0.008199999999999999,152.19299999999996,
CCCC(=O)CCC,818.5,3.9489845994594197,3.610419467912428,255.82501268231613,9.094947017729282e-13,4.336808689942018e-18,114.18799999999999,
CC1=CC=C(C=C1)OC,969.0,3.39555811718146,3.6455176481857383,279.05751330836677,0.00016283113791359938,0.00010000000000000417,122.16699999999999,
CC1=CC(=C(C=C1)O)OC,1091.9,3.090233896559731,4.075624347690592,388.67730300822836,618.6594374851737,0.008199999999999999,138.16599999999997,
CCCC(C)CC=C,719.1,3.2252245342150427,3.78326252461815,241.27409625781755,9.094947017729282e-13,4.336808689942018e-18,112.216,
CCC(C)CC=C,696.9,2.949187228023481,3.7853775942055448,242.57837380601336,9.094947017729282e-13,4.336808689942018e-18,98.189,
CC(C)CC=C,671.8,2.8847458672707518,3.832105136123131,255.2842022940928,9.094947017729282e-13,4.336808689942018e-18,84.16199999999999,
CC(C)CC(C)O,802.45,3.366643000249124,3.7976072690964213,254.2907005390131,2215.550079681112,0.010000000000000002,102.17699999999998,
