rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
24,CCCCCCCC(CCCCCC)CCCCCC,76.48505886395682,0.514941136043177,76.48505886395682,117.80501998730357,True,OK,False,100.0,76.48505886395682,0.4,0.05448052414745885,True,117.80501998730357,283.7713575219667,798.3200656725138
25,CCCCCCC=CCCCCCCC(CCCCCC)CCCCCC,77.5302280495664,0.5302280495664036,77.5302280495664,127.62667953977245,True,OK,False,100.0,77.5302280495664,0.4,0.040499566226140815,True,127.62667953977245,329.308654028706,795.5890142380215
26,CCCCCCCOCCCCCC,76.40435578041688,0.5956442195831215,76.40435578041688,95.15729485600161,True,OK,False,100.0,76.40435578041688,0.4,0.15650962753246134,True,95.15729485600161,242.3279589007758,792.4510854364578
27,CCCCCCCCCCCCCCCCCC,77.63495237331165,0.6349523733116484,77.63495237331165,112.31589689915988,True,OK,False,100.0,77.63495237331165,0.4,0.07515458324827629,True,112.31589689915988,270.13404275692073,799.5220317581078
28,CCCCCCCCOCCCCC,77.65900982767869,0.6590098276786875,77.65900982767869,95.33425908696559,True,OK,False,100.0,77.65900982767869,0.4,0.1639738563159472,True,95.33425908696559,242.32553738774232,792.424326909535
29,CCCC=CCCCCCCC(CCCCCC)CCCCCC,76.29347188483929,0.7065281151607081,76.29347188483929,125.76002302765217,True,OK,False,100.0,76.29347188483929,0.4,0.058285075389535645,True,125.76002302765217,309.6074436272264,796.342614331144
30,CCCCCCOCCCCCCCC(CC)CC,77.78577697330057,0.7857769733005711,77.78577697330057,112.97142601393436,True,OK,False,100.0,77.78577697330057,0.4,0.10298098801579625,True,112.97142601393436,277.66046812944785,790.7498731375829
31,CCCC(C)CCCCCCCCCCCCCC(CC)CC,77.8211965330009,0.8211965330009008,77.8211965330009,124.7830399157524,True,OK,False,100.0,77.8211965330009,0.4,0.06483478862415715,True,124.7830399157524,303.9206435622301,796.6270748674707
32,CCCCC=CCCCCCCC(CCCCCC)CCCCC(C)C,76.0497424899759,0.9502575100241017,76.0497424899759,127.27951849325864,True,OK,False,100.0,76.0497424899759,0.4,0.05057803717608733,True,127.27951849325864,322.7938952311806,795.5536882001569
33,CCCCCCCCC(CCCCCCC)CCCC(CC)CC,77.99921832001641,0.9992183200164106,77.99921832001641,124.50488642203145,True,OK,False,100.0,77.99921832001641,0.4,0.02227559051536354,True,124.50488642203145,310.55553098350333,796.4459923646676
