Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
10.0% 1-octene + 90.0% n-octane,"1-octene:10, n-octane:90",Other (Unsaturated + Paraffinic),6.5,1-octene,0.1,n-octane,0.9,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
25.0% 1-octene + 75.0% n-octane,"1-octene:25, n-octane:75",Other (Unsaturated + Paraffinic),6.9,1-octene,0.25,n-octane,0.75,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
50.0% 1-octene + 50.0% n-octane,"1-octene:50, n-octane:50",Other (Unsaturated + Paraffinic),7.3,1-octene,0.5,n-octane,0.5,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
63.1% 1-octene + 36.9% n-octane,"1-octene:63.1, n-octane:36.9",Other (Unsaturated + Paraffinic),7.3,1-octene,0.631,n-octane,0.369,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
75.0% 1-octene + 25.0% n-octane,"1-octene:75, n-octane:25",Other (Unsaturated + Paraffinic),7.5,1-octene,0.75,n-octane,0.25,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
87.5% 1-octene + 12.5% n-octane,"1-octene:87.5, n-octane:12.5",Other (Unsaturated + Paraffinic),7.7,1-octene,0.875,n-octane,0.125,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
95% 1-octene + 5% n-octane,"1-octene:95, n-octane:5",Other (Unsaturated + Paraffinic),7.9,1-octene,0.95,n-octane,0.05,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC=C,CCCCCCCC,,,,,,,,,
SCG Oil,,Other (Pure Oil),5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCG B100,"C16:0: 34.19, C18:0: 7.92, C18:1: 9.29, C18:2: 43.6, C18:3n6: 2.81, C18:3n3: 1.13, unknown: 1.06",B100 Biodiesel,,C16:0,0.3419,C18:0,0.0792,C18:1,0.0929,C18:2,0.436,C18:3n6,0.0281,C18:3n3,0.0113,unknown,0.0106,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,,
SCG B7,"SCG B100: 7, RFD: 93",B7 Biodiesel,5,C16:0,0.023933,C18:0,0.005544,C18:1,0.006503,C18:2,0.03052,C18:3n6,0.001967,C18:3n3,0.000791,unknown,0.000742,toluene,0.279,n-heptane,0.651,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,CC1=CC=CC=C1,CCCCCCC,,
