Source,Biodiesel,C8:0,C10:0,C12:0,C14:0,C16:0,C16:1,C17:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:0,C22:1,C24:0,C24:1,CN,Total %
Mishra (2016),sunflower,0,0,0.098716683,0.098716683,6.31786772,0.098716683,0.098716683,3.553800592,21.42152024,65.44916091,1.480750247,0.296150049,0.197433366,0.592300099,0.098716683,0.197433366,0,51.1,100
Mishra (2016),sunflower,0,0,0,0,6.2,0.1,0,3.7,25.2,63.1,0.2,0.3,0.2,0.7,0.1,0.2,0,50,100
Mishra (2016),tallow,0,0.102145046,0.204290092,2.655771195,24.82124617,2.655771195,1.430030644,18.59039837,43.1052094,4.494382022,0.919305414,0.204290092,0.612870276,0.102145046,0.102145046,0,0,60.4,100
Mishra (2016),waste cooking,0,0,0.200601805,0.672016048,15.73721163,0.73219659,0.200601805,6.158475426,42.96890672,29.44834504,2.036108325,0.391173521,0.561685055,0.441323972,0.150451354,0.300902708,0,56.2,100
Mishra (2016),yellow grease,0,0,0.195503421,0.782013685,16.12903226,0.879765396,0.097751711,6.940371457,43.59726295,24.53567937,1.075268817,0.293255132,0.488758553,0.391006843,0.097751711,0.195503421,4.301075269,56.3,100
Giakoumis (2019),LME [18],0,0,0.071501532,1.02145046,26.58835546,0,0,15.32175689,46.40449438,10.08171604,0.51072523,0,0,0,0,0,0,63.6,100
Giakoumis (2019),SFME [19],0,0,0,0,6,0.1,0,2.9,17,74,0,0,0,0,0,0,0,49,100
Giakoumis (2019),WPME [19],0,0,0,1.009081736,39.35418769,0.201816347,0,4.339051463,44.09687185,10.59535822,0.201816347,0,0.201816347,0,0,0,0,60.4,100
Giakoumis (2019),JME [54],0,0,0,0.0999001,14.18581419,0,0,7.092907093,43.15684316,34.86513487,0.1998002,0.1998002,0.0999001,0,0,0.0999001,0,54,100
Giakoumis (2019),JME [51],0,0,0,0,14.2,1.4,0,6.9,43.1,34.4,0,0,0,0,0,0,0,57.1,100
Giakoumis (2019),PGME [51],0,0,0,0,9.8,0,0,6.2,72.2,11.8,0,0,0,0,0,0,0,55.1,100
Giakoumis (2019),SME [53],0,0,0,0,8.872756604,0.090744102,0,4.587618471,24.35974995,53.10546481,7.80399274,0.39322444,0.231901593,0.413389796,0.010082678,0.131074813,0,47.7,100
Giakoumis (2019),RME [44],0,0,0,0,7.34989648,0,0,2.277432712,60.45548654,22.15320911,7.763975155,0,0,0,0,0,0,54,100
Giakoumis (2019),RME [52],0,0,0,0.102459016,4.713114754,0.307377049,0,1.844262295,62.19262295,19.56967213,8.504098361,0.614754098,1.43442623,0.307377049,0.307377049,0.102459016,0,52.2,100
Giakoumis (2019),SME [45],0,0,0,0,11.70117012,0,0,3.97039704,21.27212721,53.70537054,8.120812081,1.230123012,0,0,0,0,0,51.3,100
Giakoumis (2019),PEME [45],0,0,0,0,17.21721722,0,0,2.702702703,40.54054054,36.63663664,0.500500501,0.900900901,0,1.501501502,0,0,0,54,100
Giakoumis (2019),CRME [45],0,0,0,0,11.4,0,0,1.3,27.1,60.2,0,0,0,0,0,0,0,55.4,100
Giakoumis (2019),SFME [45],0,0,0,0,4.914744233,0,0,2.306920762,32.69809428,59.57873621,0,0,0,0.501504514,0,0,0,51.6,100
Giakoumis (2019),RME [45],0,0,0,0,5.2,0,0,1.4,66,18.9,5.6,1.9,0,1,0,0,0,54.5,100
Giakoumis (2019),PME [45],0,0,0.5,1.6,49.8,0,0,2.9,38.6,6.6,0,0,0,0,0,0,0,62,100
Giakoumis (2019),PKME [45],3.6,3.1,48,14.7,11.5,0,0,1.4,15.9,1.8,0,0,0,0,0,0,0,62.1,100
Giakoumis (2019),WFME [45],0,0,1.616161616,1.515151515,27.57575758,0,0,4.949494949,36.46464646,25.95959596,1.919191919,0,0,0,0,0,0,55,100
Giakoumis (2019),SME [47],0,0,0,0.1,11.3,0.2,0,4.6,23,52.8,7.7,0.3,0,0,0,0,0,51,100
Giakoumis (2019),SME [48],0,0,0,0,10.69042316,0,0,4.798542215,22.78801377,53.03705203,8.321522575,0.364446244,0,0,0,0,0,51.5,100
Giakoumis (2019),SME [55],0,0,0,0.090479542,10.59615965,0.130692671,0,3.910726852,23.3035086,49.18065748,8.283904695,1.71911129,0.71378305,1.890017091,0.180959083,0,0,47.2,100
Giakoumis (2019),CAME [55],0,0,0,0.070408369,5.28062764,0.221283444,0,2.70569302,58.42888755,21.91711929,7.081070207,1.04606719,1.699859183,1.176825588,0.372158519,0,0,55,100
Giakoumis (2019),LME [55],0,0,0.12021639,1.863354037,24.62432378,2.805049088,0,15.3075536,38.38910038,13.53436185,1.031857343,0.450811461,0.771388499,1.041875376,0.060108195,0,0,63.6,100
Giakoumis (2019),TME1 [55],0,0,0.060036022,2.911747048,25.92555533,3.442065239,0,22.12327396,40.25415249,2.821693016,0.650390234,0.290174104,1.020612367,0.410246148,0.090054032,0,0,62.9,100
Giakoumis (2019),TME2 [55],0,0,0.081152364,2.16068168,24.27470075,2.830188679,0,22.19517143,39.09515115,6.766078312,0.852099817,0.344897545,0.649218909,0.68979509,0.060864273,0,0,61.7,100
Giakoumis (2019),YGME [55],0,0,0,0,11.5519487,0.180342651,0,13.38543232,60.78549244,12.66406172,0,0.410780483,0.21039976,0.81154193,0,0,0,57.8,100
Giakoumis (2019),SME [42],0,0,0,0,11.00330099,0,0,4.131239372,25.12753826,53.3860158,6.351905572,0,0,0,0,0,0,54,100
Giakoumis (2019),Camelina [56],0,0,0,0.102145046,6.945863126,0,0,2.757916241,20.12257406,20.02042901,33.29928498,1.532175689,12.6659857,0.204290092,2.349336057,0,0,52.8,100
Giakoumis (2019),Coriander [57],0,0,0,0,5.36437247,0.303643725,0,3.137651822,78.03643725,13.15789474,0,0,0,0,0,0,0,53.3,100
Giakoumis (2019),Macadamia [58],0,0,0,0.602847937,8.574992205,15.99625819,0,3.68984513,63.49651803,1.93327097,0,3.055815404,2.650452136,0,0,0,0,57.5,100
Giakoumis (2019),SME [50],0,0,0,0,11.47208122,0,0,4.568527919,23.75634518,52.89340102,7.30964467,0,0,0,0,0,0,51.8,100
Giakoumis (2019),RSME [46],0,0,0,0,19.6419642,0,0,5.470547055,27.82278228,35.17351735,11.89118912,0,0,0,0,0,0,52.5,100
Giakoumis (2019),GME [26],0,0,0,0.100502513,6.934673367,0.100502513,0,4.020100503,19.09547739,69.44723618,0.301507538,0,0,0,0,0,0,48,100
Giakoumis (2019),SME [49],0,0,0,0,9,0,0,4,23,51,13,0,0,0,0,0,0,49,100
Giakoumis (2019),SFME [49],0,0,0,0,9,0,0,7,10,74,0,0,0,0,0,0,0,47,100
